Erreur_détectée	Correction_proposée	Contexte	Fichier
mrs	RMS	aux et d’en perfectionner la controuvons tirée de mrs wife van eye ballard et autres ; avec les pavillo	6271000.txt
wife	nife	et d’en perfectionner la controuvons tirée de RMS wife van eye ballard et autres ; avec les pavillons de	6271000.txt
eye	eue	erfectionner la controuvons tirée de RMS nife van eye ballard et autres ; avec les pavillons des divers	6271000.txt
ballard	billard	ctionner la controuvons tirée de RMS nife van eue ballard et autres ; avec les pavillons des divers etats 4	6271000.txt
tig	tif	les pavillons des divers États 4 1 volé 1719 avec tig cabinet satirique des vers piquants et gaillard d	6271000.txt
rtgnicr	Pas de correction trouvée	que des vers piquants et gaillard des ses scelles rtgnicr matin berthelot canard et autres portes 12 i volé	6271000.txt
berthelot	brettelât	iquants et gaillard des ses scelles rtgnicr matin berthelot canard et autres portes 12 i volé 1729 descriptio	6271000.txt
deformofa	déforma	autres portes 12 i volé 1729 description de gifle deformofa21708 - are fige lettres galantes et philosophique	6271000.txt
por	pro	708 - are fige lettres galantes et philosophiques por l’auteur des nouveaux dialogues des dieux 8 a la 	6271000.txt
fif	fief	teur des nouveaux dialogues des dieux 8 a la paye fiff méthode pour montrer à la jeunesse la manie cata	6271000.txt
ur	ru	ode pour montrer à la jeunesse la manie catalogue ur minière de bien dancer par le sr sol 8 a in paye 	6271000.txt
dancer	danser	la jeunesse la manie catalogue ru minière de bien dancer par le sr sol 8 a in paye me morale pratique du j	6271000.txt
sr	sir	 manie catalogue ru minière de bien danser par le srr sol 8 a in paye me morale pratique du janfcoifme	6271000.txt
janfcoifme	Pas de correction trouvée	" par le sir sol 8 a in paye me morale pratique du janfcoifme 8 ntenvjc (htt) teflamcut idrukt door la ill"") h "	6271000.txt
ntenvjc	d'avec	"ol 8 a in paye me morale pratique du janfcoifme 8 ntenvjc(htt) teflamcut idrukt door la ill"") h ce parc muj"	6271000.txt
htt	ont	"n paye me morale pratique du janfcoifme 8 d'avec (htt) teflamcut idrukt door la ill"") h ce parc mujttic"	6271000.txt
teflamcut	déflaquât	"e me morale pratique du janfcoifme 8 d'avec (ont) teflamcut idrukt door la ill"") h ce parc mujtticyt intrus d"	6271000.txt
idrukt	direct	"e pratique du janfcoifme 8 d'avec (ont) déflaquât idrukt door la ill"") h ce parc mujtticyt intrus den grql"	6271000.txt
door	d'or	"que du janfcoifme 8 d'avec (ont) déflaquât direct door la ill"") h ce parc mujtticyt intrus den grqle"". t"	6271000.txt
ill	il	"anfcoifme 8 d'avec (ont) déflaquât direct d'or la ill) h ce parc mujtticyt intrus den grqle"". toto i ca"	6271000.txt
mujtticyt	Pas de correction trouvée	"vec (ont) déflaquât direct d'or la il"") h ce parc mujtticyt intrus den grqle"". toto i ca un oeuvres spirituel"	6271000.txt
den	d'en	"ât direct d'or la il"") h ce parc mujtticyt intrus denn grqle"". toto i ca un oeuvres spirituelles de mr "	6271000.txt
grqle	grole	"rect d'or la il"") h ce parc mujtticyt intrus d'en grqle"". toto i ca un oeuvres spirituelles de mr de rcll"	6271000.txt
ca	ça	""") h ce parc mujtticyt intrus d'en grole"". toto i ca un oeuvres spirituelles de mr de rcllneville cont"	6271000.txt
mr	mir	"d'en grole"". toto i ça un oeuvres spirituelles de mrr de rcllneville contenant pilleurs poëtjc) chréti"	6271000.txt
rcllneville	Pas de correction trouvée	"ole"". toto i ça un oeuvres spirituelles de mir de rcllneville contenant pilleurs poëtjc) chrétiennes et les plu"	6271000.txt
poëtjc	poète	ituelles de mir de rcllneville contenant pilleurs poëtjc chrétiennes et les plumes de la pénitence parnphr	6271000.txt
parnphrafei	Pas de correction trouvée	 poète) chrétiennes et les plumes de la pénitence parnphrafei en sonnets 6 a la paye if postulat de la mer médi	6271000.txt
elpague	élague	n verra h manière de naviguer le long des côtes d’elpaguede catalogue de province d’italie etc avec une dei	6271000.txt
italie	italien	ong des côtes d’élague de catalogue de province d’italien etc avec une dei’criprlon de tous les ports havr	6271000.txt
dei	Die	e de catalogue de province d’italien etc avec une dei’criprlon de tous les ports havres etc et pl chieu	6271000.txt
pl	PCL	 une Die’criprlon de tous les ports havres etc et plL chieurs autres remarques très nécelliires à la n	6271000.txt
chieurs	chineurs	 Die’criprlon de tous les ports havres etc et PCL chieurss autres remarques très nécelliires à la navigatio	6271000.txt
nécelliires	muselières	 havres etc et PCL chineurs autres remarques très nécelliiresà la navigation par michelle 4 1709 paumes de davi	6271000.txt
michelle	micelle	res remarques très muselières à la navigation par michelle4 1709 paumes de davis mis en vers et revus par or	6271000.txt
davis	d'avis	ères à la navigation par micelle 4 1709 paumes de daviss mis en vers et revus par ordre du synode ballon 	6271000.txt
samuel	manuel	lexions pieuses inspirées dans la bataille à je r samuel gringalet avec des elvis philosophiques 8 a la pa	6271000.txt
elvis	élis	dans la bataille à je r manuel gringalet avec des elvisphilosophiques 8 a la paye air vies des s s peres 	6271000.txt
peres	pères	 élis philosophiques 8 a la paye air vies des s s peres des déserts et des saintes solitaires d’orient et	6271000.txt
occio	occire	s déserts et des saintes solitaires d’orient et d’occioe 4 dent tir catalogue dent avec dei figure en tai	6271000.txt
dei	Die	orient et d’occire 4 dent tir catalogue dent avec dei figure en tailles douces qui reprefentebt iauderi	6271000.txt
reprefentebt	représenté	alogue dent avec Die figure en tailles douces qui reprefentebtauderitè de leur vie et leurs principales occupati	6271000.txt
iauderitè	sidérite	 avec Die figure en tailles douces qui représenté iauderitède leur vie et leurs principales occupations s 4 v	6271000.txt
alex	ale	1714 l’idem en grand papier historiettes galantes alexde france 12 aventures de henriette silvia de mani	6271000.txt
france	France	idem en grand papier historiettes galantes ale de france 12 aventures de henriette silvia de maniere 12 di	6271000.txt
henriette	ariette	storiettes galantes ale de France 12 aventures de henrietteilvia de maniere 12 disgrace des amant 1 j don car	6271000.txt
silvia	sil via	es galantes ale de France 12 aventures de ariette silviaa de maniere 12 disgrace des amant 1 j don carlos 	6271000.txt
maniere	manière	 ale de France 12 aventures de ariette sil via de maniere 12 disgrace des amant 1 j don carlos 11 galanteri	6271000.txt
disgrace	disgrâce	nce 12 aventures de ariette sil via de manière 12 disgrace des amant 1 j don carlos 11 galanterie de la cour	6271000.txt
carlos	calos	 sil via de manière 12 disgrâce des amant 1 j don carlos11 galanterie de la cour de saint germain 12 1719 	6271000.txt
secrete	secrète	erie de la cour de saint germain 12 1719 histoire secrete de henri duc de rohan 12 histoire galante de la d	6271000.txt
henri	Henri	cour de saint germain 12 1719 histoire secrète de henri duc de rohan 12 histoire galante de la duchesse d	6271000.txt
rohan	roman	 germain 12 1719 histoire secrète de Henri duc de rohan 12 histoire galante de la duchesse de échantillon	6271000.txt
rcflufcitei	Pas de correction trouvée	llon 12 mademoiselle de bidonville 12 morts (les) rcflufcitei 11 comédies l’efprit de contradiction par mr du p	6271000.txt
mr	mir	ufcitei 11 comédies l’esprit de contradiction par mrr du pretty 12 le quincampoix par mr de lorne 8 ba	6271000.txt
pretty	prêts	 11 comédies l’esprit de contradiction par mir du pretty12 le quincampoix par mr de lorne 8 bao brochures 	6271000.txt
quincampoix	Pas de correction trouvée	 l’esprit de contradiction par mir du prêts 12 le quincampoix par mr de lorne 8 bao brochures sur les affaires 	6271000.txt
mr	mir	tradiction par mir du prêts 12 le quincampoix par mrr de lorne 8 bao brochures sur les affaires bu te 	6271000.txt
lorne	l'orne	ion par mir du prêts 12 le quincampoix par mir de lornee 8 bao brochures sur les affaires bu te m s et au	6271000.txt
bao	boa	ir du prêts 12 le quincampoix par mir de l'orne 8 bao brochures sur les affaires bu te m s et autres av	6271000.txt
bretagne	brettâmes	es visibles de la prochaine guerre pour la grande-bretagnes et les allier par rapport au commerce avec les p	6271000.txt
bello	hello	 commerce avec les plans de la havane et de porto-bello 4 1717 capitulation sereniffimi principes mc do m	6271000.txt
sereniffimi	Pas de correction trouvée	e la havane et de porto-hello 4 1717 capitulation sereniffimi principes mc do mini domine carolil/i iniperatori	6271000.txt
mc	cm	o-hello 4 1717 capitulation sereniffimi principes mc do mini domine carolil/i iniperatoris etc coh/.lu	6271000.txt
carolil	carolus	itulation sereniffimi principes cm do mini domine carolil/i iniperatoris etc coh/.lufa francùfurliydie 11 o	6271000.txt
iniperatoris	Pas de correction trouvée	sereniffimi principes cm do mini domine carolus/i iniperatoris etc coh/.lufa francùfurliydie 11 où abri s 1711 4	6271000.txt
coh	oh	ipes cm do mini domine carolus/i iniperatoris etc coh.lufa francùfurliydie 11 où abri s 1711 4 173 e ex	6271000.txt
francùfurliydie	Pas de correction trouvée	o mini domine carolus/i iniperatoris etc oh/.lufa francùfurliydie 11 où abri s 1711 4 173 e explication des motifs 	6271000.txt
efpagne	épargne	ri s 1711 4 173 e explication des motifs du roi d’efpagne contre le l’raité réglé entre le roi britannique 	6271000.txt
raité	raire	plication des motifs du roi d’épargne contre le l’raité réglé entre le roi britannique et le régent de fr	6271000.txt
bretagne	brettâmes	 mémoires que les minières des cours de la grande bretagnes france et d’efpagné fe font écrit et envoyez réc	6271000.txt
france	France	que les minières des cours de la grande brettâmes france et d’efpagné fe font écrit et envoyez réciproquem	6271000.txt
efpagné	épargne	ères des cours de la grande brettâmes France et d’efpagné fe font écrit et envoyez réciproquement fur la si	6271000.txt
préfere	préfère	 écrit et envoyez réciproquement fur la situation préfere des affaires de l’europe 4 1727 lettres d’un whit	6271000.txt
europe	Europe	uement fur la situation préfère des affaires de l’europe 4 1727 lettres d’un whit à un hollandais fur l’ex	6271000.txt
whit	whist	fère des affaires de l’Europe 4 1727 lettres d’un whitt à un hollandais fur l’examen de la liberté de fl	6271000.txt
ecrite	écrite	fur l’examen de la liberté de florence 4 1722 a a ecrite tu chevalier banks contre le pouvoir absolu et l’	6271000.txt
banks	bans	iberté de florence 4 1722 a a écrite tu chevalier bankscontre le pouvoir absolu et l’obévilance paffivc 8	6271000.txt
obévilance	obéissance	e tu chevalier bans contre le pouvoir absolu et l’obévilance paffivc 8 1791 et maniement impériaux coq tre les	6271000.txt
paffivc	baffiez	ier bans contre le pouvoir absolu et l’obéissance paffivc 8 1791 et maniement impériaux coq tre les lecteur	6271000.txt
tre	très	issance baffiez 8 1791 et maniement impériaux coq tres les lecteurs de navire et de co ligne 41713- ite	6271000.txt
co	oc	t impériaux coq très les lecteurs de navire et de co ligne 41713- item : v recherche (tvcntidt) des mo	6271000.txt
tvcntidt	Pas de correction trouvée	 navire et de oc ligne 41713- item : v recherche (tvcntidt) des motifs de la conduite ~ la grande-iirctane p	6271000.txt
iirctane	dictame	 (tvcntidt) des motifs de la conduite ~ la grande-iirctanepar rapport à l’etat ptelenc des affaires de l’eur	6271000.txt
ptelenc	pèlent	conduite ~ la grande-dictame par rapport à l’état ptelencdes affaires de l’europe 1 17 1 réel xiii fur le p	6271000.txt
europe	Europe	ame par rapport à l’état pèlent des affaires de l’europe 1 17 1 réel xiii fur le perdit ouvre avec la rayo	6271000.txt
xiii	ixia	’état pèlent des affaires de l’Europe 1 17 1 réel xiii fur le perdit ouvre avec la rayon à c s réelexion	6271000.txt
réelexions	réflexions	réel ixia fur le perdit ouvre avec la rayon à c s réelexions et quelques autres pièce de 4 1 m m critiques sur	6271000.txt
mr	mir	utres pièce de 4 1 m m critiques sur l’ouvrage de mrr jacques sarin intitulé l’iiiat du chris tianilrn	6271000.txt
jacques	Jacques	s pièce de 4 1 m m critiques sur l’ouvrage de mir jacques sarin intitulé l’iiiat du chris tianilrne en fran	6271000.txt
sarin	satin	de 4 1 m m critiques sur l’ouvrage de mir Jacques sarin intitulé l’iiiat du chris tianilrne en france 1 7	6271000.txt
iiiat	initiât	ues sur l’ouvrage de mir Jacques satin intitulé l’iiiatât du chris tianilrne en france 1 7 (-. relation d	6271000.txt
chris	chéris	uvrage de mir Jacques satin intitulé l’initiât du chriss tianilrne en france 1 7 (-. relation de la flott	6271000.txt
tianilrne	thiamine	de mir Jacques satin intitulé l’initiât du chéris tianilrneen france 1 7 (-. relation de la flotte julienne g	6271000.txt
france	France	es satin intitulé l’initiât du chéris thiamine en france 1 7 (-. relation de la flotte julienne greffe fur	6271000.txt
prendez	prendrez	greffe fur des journaux authentiques 41719 de des prendezz des deux cours de rome et de sicile sur les cons	6271000.txt
rome	Rome	hentiques 41719 de des prendrez des deux cours de rome et de sicile sur les constellations au lui et du 	6271000.txt
sicile	sicle	1719 de des prendrez des deux cours de Rome et de sicilesur les constellations au lui et du tribunal de la	6271000.txt
jv	kV	tions au lui et du tribunal de la montre the 8 171jv 	6271000.txt
adélaïde	délaite	       adélaïdede mariendal    rgb (bnf- obvil)      http//gallic	5781000.txt
mariendal	marital	       délaite de mariendal  rgb (bnf- obvil)      http//gallicabnffr/ark/121	5781000.txt
rgb	rob	       délaite de marital    rgb (bnf- obvil)      http//gallicabnffr/ark/12148/bp	5781000.txt
bnf	bof	       délaite de marital    rob (bnf- obvil)      http//gallicabnffr/ark/12148/bpt6k57	5781000.txt
obvil	obvia	       délaite de marital    rob (bof- obvil)      http//gallicabnffr/ark/12148/bpt6k57810006 	5781000.txt
http	TCP	      délaite de marital    rob (bof- obvia)      http/gallicabnffr/ark/12148/bpt6k57810006    d e drame	5781000.txt
